1;https://images.punkapi.com/v2/keg.png;Buzz;A light, crisp and bitter IPA brewed with English and American hops. A small batch brewed only once;A Real Bitter Experience;09/2007;4.0
2;https://images.punkapi.com/v2/2.png;Trashy Blonde;A titillating, neurotic, peroxide punk of a Pale Ale;You Know You Shouldn't;04/2008;3.5
3;https://images.punkapi.com/v2/keg.png;Berliner Weisse With Yuzu - B-Sides;Japanese citrus fruit intensifies the sour nature of this German classic;Japanese Citrus Berliner Weisse;11/2015;4.2
4;https://images.punkapi.com/v2/4.png;Pilsen Lager;Our Unleash the Yeast series was an epic experiment into the differences in aroma and flavour provided by switching up your yeast;Unleash the Yeast Series;09/2013;5.5
5;https://images.punkapi.com/v2/5.png;Avery Brown Dredge;An Imperial Pilsner in collaboration with beer writers;Bloggers' Imperial Pilsner;02/2011;6.3
6;https://images.punkapi.com/v2/6.png;Electric India;Re-brewed as a spring seasonal, this beer ? which appeared originally as an Equity Punk shareholder creation ? retains its trademark spicy, fruity edge;Vibrant Happy Season;05/2013;4.0
7;https://images.punkapi.com/v2/7.png;AB12;An Imperial Black Belgian Ale aged in old Invergordon Scotch whisky barrels with mountains of raspberries;Imperial Black Belgian Ale;07/2012;3.95
8;https://images.punkapi.com/v2/8.png;Fake Lager;Fake is the new black;Bohemian Pilsner;03/2013;4.25
9;https://images.punkapi.com/v2/9.png;AB07;Beer perfect for when the rain is coming sideways;Whisky Cask-Aged Scotch Ale;03/2010;5.6
10;https://images.punkapi.com/v2/10.png;Bramling X;Good old Bramling Cross, refined;Single Hop IPA Series - 2011;01/2011;6.55
